0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.00001,-0.00001
0,0.00002,-0.00002
0,0.00003,-0.00003
0,0.00004,-0.00004
0,0.00005,-0.00005
0,0.00007,-0.00007
0,0.00009,-0.00009
0,0.00011,-0.00011
0,0.00013,-0.00013
0,0.00015,-0.00015
0,0.00017,-0.00017
0,0.0002,-0.0002
0,0.00023,-0.00023
0,0.00026,-0.00026
0,0.0003,-0.0003
0,0.00034,-0.00034
0,0.00038,-0.00038
0,0.00043,-0.00043
0,0.00048,-0.00048
0,0.00053,-0.00053
0,0.00059,-0.00059
0,0.00065,-0.00065
0,0.00072,-0.00072
0,0.00079,-0.00079
0,0.00086,-0.00086
0,0.00094,-0.00094
0,0.00102,-0.00102
0,0.00111,-0.00111
0,0.0012,-0.0012
0,0.0013,-0.0013
0,0.0014,-0.0014
0,0.00151,-0.00151
0,0.00162,-0.00162
0,0.00174,-0.00174
0,0.00186,-0.00186
0,0.00199,-0.00199
0,0.00212,-0.00212
0,0.00226,-0.00226
0,0.0024,-0.0024
0,0.00255,-0.00255
0,0.0027,-0.0027
0,0.00286,-0.00286
0,0.00303,-0.00303
0,0.0032,-0.0032
0,0.00338,-0.00338
0,0.00356,-0.00356
0,0.00375,-0.00375
0,0.00394,-0.00395
0,0.00414,-0.00415
0,0.00435,-0.00436
0,0.00456,-0.00457
0,0.00478,-0.00479
0,0.00501,-0.00502
0,0.00524,-0.00526
0,0.00548,-0.0055
0,0.00572,-0.00575
0,0.00597,-0.006
0,0.00623,-0.00626
0,0.00649,-0.00653
0,0.00676,-0.0068
0,0.00704,-0.00708
0,0.00732,-0.00737
0,0.00761,-0.00767
0,0.00791,-0.00797
0,0.00822,-0.00828
0,0.00853,-0.0086
0,0.00885,-0.00893
0,0.00918,-0.00926
0,0.00951,-0.0096
0,0.00985,-0.00995
0.00001,0.0102,-0.0103
0.00002,0.01056,-0.01066
0.00003,0.01092,-0.01103
0.00004,0.01129,-0.0114
0.00005,0.01167,-0.01178
0.00006,0.01205,-0.01217
0.00007,0.01244,-0.01257
0.00008,0.01284,-0.01297
0.00009,0.01325,-0.01338
